,x,y,xG,season,result
0,0.8880000305175781,0.6659999847412109,0.07933320105075836,2019,Goal
1,0.98,0.48900001525878906,0.9206209778785706,2019,Goal
2,0.8830000305175781,0.34700000762939454,0.32283100485801697,2019,Goal
3,0.8859999847412109,0.639000015258789,0.11918099969625473,2019,BlockedShot
4,0.955,0.495,0.7466409802436829,2019,Goal
5,0.9869999694824219,0.325,0.4675059914588928,2019,Goal
6,0.9740000152587891,0.5429999923706055,0.6271569728851318,2019,Goal
7,0.915,0.5609999847412109,0.1558070033788681,2019,Goal
8,0.9359999847412109,0.695,0.058969900012016296,2019,SavedShot
9,0.9269999694824219,0.4540000152587891,0.04765170067548752,2019,MissedShots
10,0.8980000305175782,0.7019999694824218,0.061866000294685364,2019,BlockedShot
11,0.9319999694824219,0.4540000152587891,0.6322330236434937,2019,Goal
12,0.8830000305175781,0.5370000076293945,0.05577469989657402,2019,BlockedShot
13,0.9269999694824219,0.43099998474121093,0.47116899490356445,2019,Goal
14,0.8859999847412109,0.3139999961853027,0.07960090041160583,2019,SavedShot
15,0.8930000305175781,0.32,0.24349500238895416,2019,SavedShot
16,0.775,0.615999984741211,0.05442430078983307,2019,MissedShots
17,0.8780000305175781,0.674000015258789,0.07399290055036545,2019,BlockedShot
18,0.9130000305175782,0.62,0.4135569930076599,2019,MissedShots
19,0.9369999694824219,0.68,0.04732320085167885,2019,MissedShots
20,0.9159999847412109,0.4520000076293945,0.3541730046272278,2019,Goal
21,0.8469999694824218,0.2560000038146973,0.02372249960899353,2019,BlockedShot
22,0.8830000305175781,0.4209999847412109,0.10417299717664719,2019,BlockedShot
23,0.8490000152587891,0.5409999847412109,0.04799110069870949,2019,MissedShots
24,0.88,0.665,0.06281580030918121,2019,BlockedShot
25,0.9030000305175782,0.6020000076293945,0.09813159704208374,2019,BlockedShot
26,0.8469999694824218,0.415,0.08031559735536575,2019,BlockedShot
27,0.9059999847412109,0.5029999923706054,0.11829300224781036,2019,Goal
28,0.8540000152587891,0.54,0.0971594974398613,2019,BlockedShot
29,0.9069999694824219,0.475,0.4733000099658966,2019,SavedShot
30,0.9009999847412109,0.5570000076293945,0.4343079924583435,2019,Goal
31,0.9369999694824219,0.655,0.34138500690460205,2019,SavedShot
32,0.9840000152587891,0.5270000076293946,0.9744420051574707,2019,Goal
33,0.9059999847412109,0.5059999847412109,0.07609739899635315,2020,SavedShot
34,0.88,0.6270000076293946,0.06623440235853195,2020,BlockedShot
35,0.9459999847412109,0.634000015258789,0.04479280114173889,2020,MissedShots
36,0.885,0.5,0.7577769756317139,2020,Goal
37,0.9269999694824219,0.575,0.4630489945411682,2020,Goal
38,0.8909999847412109,0.4,0.01588580012321472,2020,MissedShots
39,0.919000015258789,0.38299999237060545,0.310465008020401,2020,SavedShot
