player,team,position,90s,carries_pa,touches_pa,succ_takeons,carries_final_third,prog_carries,fouls_drawn,passes_pa,passes_final_third,prog_passes,key_passes,xAG,xA,npxG,shots,takeons_lead_to_shot,carry_losses
Himad Abdelli,Angers,"MF,FW",17.7,0.903954802259887,2.0903954802259888,1.9774011299435028,2.824858757062147,3.9548022598870056,1.1299435028248588,1.2994350282485876,5.36723163841808,7.118644067796611,1.5254237288135595,0.14689265536723164,0.13559322033898305,0.1016949152542373,1.1299435028248588,0.11299435028248588,2.994350282485876
Matthis Abline,Nantes,FW,15.6,1.4743589743589745,5.448717948717949,1.0897435897435899,1.153846153846154,2.1153846153846154,1.3461538461538463,0.576923076923077,0.7692307692307693,1.794871794871795,0.7692307692307693,0.10897435897435898,0.12820512820512822,0.25641025641025644,2.948717948717949,0.25641025641025644,5.1923076923076925
Zakaria Aboukhlal,Toulouse,"MF,FW",15.8,0.9493670886075949,5.506329113924051,0.6329113924050632,1.2025316455696202,1.7088607594936709,1.0126582278481011,0.5063291139240506,0.6329113924050632,1.2658227848101264,0.5063291139240506,0.08227848101265822,0.10126582278481013,0.46835443037974683,2.9746835443037973,0.2531645569620253,4.240506329113924
Akor Adams,Montpellier,FW,11.9,0.5882352941176471,4.117647058823529,0.5882352941176471,0.42016806722689076,0.9243697478991596,0.6722689075630252,0.0,0.6722689075630252,0.5042016806722689,1.0084033613445378,0.08403361344537814,0.008403361344537815,0.36134453781512604,2.1848739495798317,0.3361344537815126,2.5210084033613445
Che Adams,Torino,FW,14.8,0.13513513513513511,3.243243243243243,0.4054054054054054,0.6081081081081081,0.6756756756756757,1.554054054054054,0.27027027027027023,1.2162162162162162,1.081081081081081,1.1486486486486487,0.10135135135135134,0.14864864864864866,0.25,2.0945945945945943,0.0,3.243243243243243
Junior Adamu,Freiburg,FW,10.1,0.297029702970297,3.9603960396039604,0.7920792079207921,0.297029702970297,0.49504950495049505,1.5841584158415842,0.297029702970297,0.297029702970297,0.594059405940594,1.2871287128712872,0.1386138613861386,0.1485148514851485,0.38613861386138615,2.0792079207920793,0.09900990099009901,3.8613861386138617
Oladapo Afolayan,St. Pauli,"FW,MF",13.3,1.4285714285714286,3.3834586466165413,2.932330827067669,2.3308270676691727,2.857142857142857,2.255639097744361,0.6766917293233082,1.2030075187969924,1.6541353383458646,1.2030075187969924,0.24060150375939848,0.22556390977443608,0.19548872180451127,2.0300751879699246,0.8270676691729323,5.18796992481203
Ludovic Ajorque,Brest,FW,13.5,0.14814814814814814,3.7777777777777777,0.37037037037037035,0.5185185185185185,0.2222222222222222,1.1851851851851851,0.4444444444444444,1.4814814814814814,1.7037037037037037,1.4074074074074074,0.1037037037037037,0.05925925925925926,0.21481481481481482,1.3333333333333333,0.07407407407407407,2.3703703703703702
Maghnes Akliouche,Monaco,"FW,MF",12.3,1.8699186991869918,5.772357723577236,1.951219512195122,3.7398373983739837,4.5528455284552845,1.3008130081300813,2.0325203252032518,3.170731707317073,6.747967479674796,2.0325203252032518,0.2845528455284553,0.3252032520325203,0.26829268292682923,2.2764227642276422,0.4878048780487805,4.5528455284552845
Mohamed Ali Cho,Nice,"FW,MF",9.8,1.530612244897959,3.9795918367346936,1.0204081632653061,2.0408163265306123,3.571428571428571,2.5510204081632653,1.7346938775510203,0.9183673469387754,3.061224489795918,1.8367346938775508,0.25510204081632654,0.2040816326530612,0.173469387755102,1.530612244897959,0.2040816326530612,5.408163265306122
Jim Allevinah,Angers,FW,10.5,0.38095238095238093,3.8095238095238093,0.2857142857142857,1.619047619047619,2.0,1.619047619047619,0.7619047619047619,1.5238095238095237,3.142857142857143,0.8571428571428571,0.2,0.12380952380952381,0.19047619047619047,2.1904761904761907,0.0,3.5238095238095237
Domingos André Ribeiro Almeida,Valencia,"MF,FW",10.3,0.3883495145631068,1.9417475728155338,0.8737864077669902,1.8446601941747571,1.6504854368932038,0.7766990291262136,0.8737864077669902,4.563106796116505,6.407766990291262,1.262135922330097,0.08737864077669903,0.20388349514563106,0.038834951456310676,0.8737864077669902,0.0970873786407767,3.495145631067961
Adrià Altimira,Leganés,"DF,FW",8.6,0.11627906976744186,0.11627906976744186,0.813953488372093,1.1627906976744187,1.627906976744186,1.627906976744186,0.3488372093023256,2.2093023255813953,2.3255813953488373,0.11627906976744186,0.0,0.023255813953488375,0.011627906976744188,0.46511627906976744,0.11627906976744186,1.5116279069767442
Julián Álvarez,Atlético Madrid,"FW,MF",14.2,0.8450704225352114,3.7323943661971835,0.9154929577464789,1.9014084507042255,2.887323943661972,0.14084507042253522,1.1267605633802817,1.267605633802817,2.676056338028169,1.1971830985915493,0.14084507042253522,0.09154929577464789,0.39436619718309857,2.4647887323943665,0.28169014084507044,3.521126760563381
Selim Amallah,Valladolid,"MF,FW",8.2,0.3658536585365854,1.4634146341463417,2.073170731707317,0.853658536585366,1.3414634146341464,1.829268292682927,0.3658536585365854,2.682926829268293,3.414634146341464,0.7317073170731708,0.02439024390243903,0.04878048780487806,0.21951219512195125,1.829268292682927,0.48780487804878053,3.536585365853659
Mohamed Amoura,Wolfsburg,FW,14.3,1.3286713286713285,4.615384615384615,1.5384615384615383,2.3076923076923075,3.6363636363636362,0.979020979020979,0.9090909090909091,1.2587412587412588,2.2377622377622375,1.2587412587412588,0.14685314685314685,0.14685314685314685,0.3076923076923077,3.0069930069930066,0.2797202797202797,3.2167832167832167
