Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Touches,Tou/90,Tou/90 5 rolling,Def Pen,Def 3rd,Def /90,Def 90 roll,Mid 3rd,Att 3rd,Att /90,Att /90 roll,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
2024-02-11,Sun,Premier League,Matchweek 24,Away,W 6–0,Arsenal,West Ham,Y,CM,66,82,112,93,1,19,26,22,46,18,25,20,0,82,0,0,,0,,55,384,191,2,4,0,1,1,64,0
2024-02-17,Sat,Premier League,Matchweek 25,Away,W 5–0,Arsenal,Burnley,Y,CM,78,62,72,85,1,16,18,21,45,2,2,16,0,62,0,0,,0,,49,303,168,1,0,0,1,1,51,0
2024-02-21,Wed,Champions Lg,Round of 16,Away,L 0–1,eng Arsenal,pt Porto,Y,"CM,DM",90,88,88,86,1,12,12,17,71,5,5,15,0,88,1,1,100,0,0,61,317,170,1,0,0,1,0,60,0
2024-02-24,Sat,Premier League,Matchweek 26,Home,W 4–1,Arsenal,Newcastle Utd,Y,LM,90,63,63,80,0,6,6,16,28,30,30,15,4,63,2,0,0,2,100,25,185,95,4,3,2,0,0,34,3
2024-03-04,Mon,Premier League,Matchweek 27,Away,W 6–0,Arsenal,Sheffield Utd,Y,LM,73,62,76,82,0,3,4,13,26,33,41,21,5,62,1,0,0,0,0,31,184,107,3,5,0,0,0,44,4
2024-03-09,Sat,Premier League,Matchweek 28,Home,W 2–1,Arsenal,Brentford,Y,"LM,CM",90,60,60,72,3,10,10,10,24,27,27,21,4,60,2,1,50,1,50,31,190,89,2,4,0,4,0,38,5
2024-03-12,Tue,Champions Lg,Round of 16,Home,W 1 (4)–0 (2),eng Arsenal,pt Porto,Y,"LM,CM",120,74,56,69,4,16,12,9,41,18,14,23,3,74,1,1,100,0,0,41,266,131,2,1,0,2,2,49,3
2024-03-31,Sun,Premier League,Matchweek 30,Away,D 0–0,Arsenal,Manchester City,Y,LM,90,43,43,60,0,13,13,9,18,12,12,25,2,43,1,1,100,0,0,27,121,48,0,0,0,3,0,25,3
2024-04-03,Wed,Premier League,Matchweek 31,Home,W 2–0,Arsenal,Luton Town,N,CM,24,17,64,60,1,9,34,14,7,1,4,19,0,17,0,0,,0,,12,51,5,0,0,0,0,0,11,0
2024-04-06,Sat,Premier League,Matchweek 32,Away,W 3–0,Arsenal,Brighton,Y,LM,90,49,49,54,3,12,12,16,17,20,20,15,4,49,4,2,50,2,50,18,123,60,1,1,0,1,0,30,5
2024-04-09,Tue,Champions Lg,Quarter-finals,Home,D 2–2,eng Arsenal,de Bayern Munich,Y,"LM,CM",90,48,48,52,0,8,8,16,27,14,14,13,1,48,3,3,100,0,0,34,199,97,4,1,0,1,0,31,1
2024-04-14,Sun,Premier League,Matchweek 33,Home,L 0–2,Arsenal,Aston Villa,Y,"CM,LM",90,70,70,55,1,18,18,17,37,16,16,13,2,70,0,0,,0,,42,239,146,0,1,0,1,1,51,3
2024-04-17,Wed,Champions Lg,Quarter-finals,Away,L 0–1,eng Arsenal,de Bayern Munich,Y,"LM,CM,CB",90,72,72,61,3,14,14,17,43,16,16,14,1,72,3,2,66.7,1,33.3,47,287,135,4,2,0,2,0,50,3
2024-04-20,Sat,Premier League,Matchweek 34,Away,W 2–0,Arsenal,Wolves,Y,"CM,LM",90,68,68,61,0,9,9,12,37,22,22,18,3,68,3,1,33.3,1,33.3,48,328,204,5,2,2,0,1,55,1
2024-04-23,Tue,Premier League,Matchweek 29,Home,W 5–0,Arsenal,Chelsea,Y,LM,90,53,53,62,4,9,9,12,22,23,23,18,7,53,3,1,33.3,2,66.7,23,181,106,5,1,4,1,0,32,3
2024-04-28,Sun,Premier League,Matchweek 35,Away,W 3–2,Arsenal,Tottenham,Y,"LM,CM",90,54,54,63,5,17,17,13,22,16,16,19,2,54,1,0,0,1,100,22,131,52,0,3,0,0,2,24,1
2024-05-04,Sat,Premier League,Matchweek 36,Home,W 3–0,Arsenal,Bournemouth,Y,LM,90,61,61,62,0,7,7,11,35,22,22,20,7,61,3,2,66.7,1,33.3,40,293,155,5,2,2,1,1,40,4
2024-05-12,Sun,Premier League,Matchweek 37,Away,W 1–0,Arsenal,Manchester Utd,Y,"LM,CM",90,42,42,56,1,10,10,10,20,13,13,19,1,42,1,0,0,1,100,25,142,56,0,1,0,1,0,25,3
2024-05-19,Sun,Premier League,Matchweek 38,Home,W 2–1,Arsenal,Everton,Y,"LM,CM",90,65,65,55,0,2,2,9,30,34,34,22,5,65,1,0,0,1,100,38,299,138,4,6,1,0,2,42,2
2024-08-17,Sat,Premier League,Matchweek 1,Home,W 2–0,Arsenal,Wolves,Y,LM,84,39,42,42,2,6,6,6,15,18,19,19,3,39,0,0,,0,,20,107,42,1,1,0,0,1,26,4
2024-08-24,Sat,Premier League,Matchweek 2,Away,W 2–0,Arsenal,Aston Villa,Y,LM,90,41,41,41,3,6,6,6,22,13,13,16,2,41,3,1,33.3,2,66.7,22,115,57,2,0,0,0,1,26,5
2024-08-31,Sat,Premier League,Matchweek 3,Home,D 1–1,Arsenal,Brighton,Y,LM,48,19,36,39,0,1,2,5,7,11,21,18,2,19,1,1,100,0,0,11,43,20,1,0,0,1,1,10,0
