Minute,Team,xG,PSxG,Outcome,Event Type,match_url
0,0,0,0,0,Shot,https://fbref.com/en/matches/1d07228e/West-Ham-United-Leicester-City-August-23-2021-Premier-League
6,West Ham,0.02,0.23,Saved,Shot,https://fbref.com/en/matches/1d07228e/West-Ham-United-Leicester-City-August-23-2021-Premier-League
14,West Ham,0.02,0,Off Target,Shot,https://fbref.com/en/matches/1d07228e/West-Ham-United-Leicester-City-August-23-2021-Premier-League
16,West Ham,0.03,0,Off Target,Shot,https://fbref.com/en/matches/1d07228e/West-Ham-United-Leicester-City-August-23-2021-Premier-League
24,West Ham,0.05,0,Blocked,Shot,https://fbref.com/en/matches/1d07228e/West-Ham-United-Leicester-City-August-23-2021-Premier-League
26,West Ham,0.19,0.65,Goal,Shot,https://fbref.com/en/matches/1d07228e/West-Ham-United-Leicester-City-August-23-2021-Premier-League
29,West Ham,0.17,0,Off Target,Shot,https://fbref.com/en/matches/1d07228e/West-Ham-United-Leicester-City-August-23-2021-Premier-League
30,Leicester City,0.11,0,Off Target,Shot,https://fbref.com/en/matches/1d07228e/West-Ham-United-Leicester-City-August-23-2021-Premier-League
33,Leicester City,0.1,0,Off Target,Shot,https://fbref.com/en/matches/1d07228e/West-Ham-United-Leicester-City-August-23-2021-Premier-League
35,West Ham,0.19,0,Off Target,Shot,https://fbref.com/en/matches/1d07228e/West-Ham-United-Leicester-City-August-23-2021-Premier-League
40,Leicester City,0,0,Red Card,Red Card,https://fbref.com/en/matches/1d07228e/West-Ham-United-Leicester-City-August-23-2021-Premier-League
44,West Ham,0.06,0,Blocked,Shot,https://fbref.com/en/matches/1d07228e/West-Ham-United-Leicester-City-August-23-2021-Premier-League
45,West Ham,0.07,0,Off Target,Shot,https://fbref.com/en/matches/1d07228e/West-Ham-United-Leicester-City-August-23-2021-Premier-League
50,West Ham,0.05,0,Off Target,Shot,https://fbref.com/en/matches/1d07228e/West-Ham-United-Leicester-City-August-23-2021-Premier-League
52,West Ham,0.22,0.17,Saved,Shot,https://fbref.com/en/matches/1d07228e/West-Ham-United-Leicester-City-August-23-2021-Premier-League
56,West Ham,0.4,0.78,Goal,Shot,https://fbref.com/en/matches/1d07228e/West-Ham-United-Leicester-City-August-23-2021-Premier-League
58,Leicester City,0.04,0,Blocked,Shot,https://fbref.com/en/matches/1d07228e/West-Ham-United-Leicester-City-August-23-2021-Premier-League
63,West Ham,0.06,0.24,Saved,Shot,https://fbref.com/en/matches/1d07228e/West-Ham-United-Leicester-City-August-23-2021-Premier-League
63,West Ham,0.08,0,Off Target,Shot,https://fbref.com/en/matches/1d07228e/West-Ham-United-Leicester-City-August-23-2021-Premier-League
67,West Ham,0.09,0,Off Target,Shot,https://fbref.com/en/matches/1d07228e/West-Ham-United-Leicester-City-August-23-2021-Premier-League
69,Leicester City,0.16,0,Blocked,Shot,https://fbref.com/en/matches/1d07228e/West-Ham-United-Leicester-City-August-23-2021-Premier-League
69,Leicester City,0.18,0.46,Goal,Shot,https://fbref.com/en/matches/1d07228e/West-Ham-United-Leicester-City-August-23-2021-Premier-League
75,West Ham,0.03,0,Off Target,Shot,https://fbref.com/en/matches/1d07228e/West-Ham-United-Leicester-City-August-23-2021-Premier-League
76,West Ham,0.1,0,Off Target,Shot,https://fbref.com/en/matches/1d07228e/West-Ham-United-Leicester-City-August-23-2021-Premier-League
80,West Ham,0.3,0.13,Goal,Shot,https://fbref.com/en/matches/1d07228e/West-Ham-United-Leicester-City-August-23-2021-Premier-League
84,West Ham,0.21,0.85,Goal,Shot,https://fbref.com/en/matches/1d07228e/West-Ham-United-Leicester-City-August-23-2021-Premier-League
0,0,0,0,0,Shot,https://fbref.com/en/matches/d4650aa2/Manchester-City-Arsenal-August-28-2021-Premier-League
5,Arsenal,0.21,0,Off Target,Shot,https://fbref.com/en/matches/d4650aa2/Manchester-City-Arsenal-August-28-2021-Premier-League
7,Manchester City,0.19,0.67,Goal,Shot,https://fbref.com/en/matches/d4650aa2/Manchester-City-Arsenal-August-28-2021-Premier-League
12,Manchester City,0.54,0.7,Goal,Shot,https://fbref.com/en/matches/d4650aa2/Manchester-City-Arsenal-August-28-2021-Premier-League
17,Manchester City,0.41,0,Off Target,Shot,https://fbref.com/en/matches/d4650aa2/Manchester-City-Arsenal-August-28-2021-Premier-League
35,Arsenal,0,0,Red Card,Red Card,https://fbref.com/en/matches/d4650aa2/Manchester-City-Arsenal-August-28-2021-Premier-League
38,Manchester City,0.04,0,Off Target,Shot,https://fbref.com/en/matches/d4650aa2/Manchester-City-Arsenal-August-28-2021-Premier-League
39,Manchester City,0.02,0,Blocked,Shot,https://fbref.com/en/matches/d4650aa2/Manchester-City-Arsenal-August-28-2021-Premier-League
43,Manchester City,0.42,0.8,Goal,Shot,https://fbref.com/en/matches/d4650aa2/Manchester-City-Arsenal-August-28-2021-Premier-League
50,Manchester City,0.07,0.16,Saved,Shot,https://fbref.com/en/matches/d4650aa2/Manchester-City-Arsenal-August-28-2021-Premier-League
50,Manchester City,0.05,0,Blocked,Shot,https://fbref.com/en/matches/d4650aa2/Manchester-City-Arsenal-August-28-2021-Premier-League
51,Manchester City,0.03,0,Blocked,Shot,https://fbref.com/en/matches/d4650aa2/Manchester-City-Arsenal-August-28-2021-Premier-League
52,Manchester City,0.04,0,Blocked,Shot,https://fbref.com/en/matches/d4650aa2/Manchester-City-Arsenal-August-28-2021-Premier-League
53,Manchester City,0.03,0.36,Goal,Shot,https://fbref.com/en/matches/d4650aa2/Manchester-City-Arsenal-August-28-2021-Premier-League
55,Manchester City,0.02,0,Blocked,Shot,https://fbref.com/en/matches/d4650aa2/Manchester-City-Arsenal-August-28-2021-Premier-League
62,Manchester City,0.06,0,Off Target,Shot,https://fbref.com/en/matches/d4650aa2/Manchester-City-Arsenal-August-28-2021-Premier-League
65,Manchester City,0.07,0,Blocked,Shot,https://fbref.com/en/matches/d4650aa2/Manchester-City-Arsenal-August-28-2021-Premier-League
