Minute,Team,xG,PSxG,Outcome,Event Type,match_url
68,Manchester City,0.06,0,Off Target,Shot,https://fbref.com/en/matches/d4650aa2/Manchester-City-Arsenal-August-28-2021-Premier-League
68,Manchester City,0.39,0.74,Saved,Shot,https://fbref.com/en/matches/d4650aa2/Manchester-City-Arsenal-August-28-2021-Premier-League
76,Manchester City,0.17,0,Off Target,Shot,https://fbref.com/en/matches/d4650aa2/Manchester-City-Arsenal-August-28-2021-Premier-League
77,Manchester City,0.57,0.3,Saved,Shot,https://fbref.com/en/matches/d4650aa2/Manchester-City-Arsenal-August-28-2021-Premier-League
84,Manchester City,0.46,0.63,Goal,Shot,https://fbref.com/en/matches/d4650aa2/Manchester-City-Arsenal-August-28-2021-Premier-League
86,Manchester City,0.07,0,Blocked,Shot,https://fbref.com/en/matches/d4650aa2/Manchester-City-Arsenal-August-28-2021-Premier-League
87,Manchester City,0.04,0,Blocked,Shot,https://fbref.com/en/matches/d4650aa2/Manchester-City-Arsenal-August-28-2021-Premier-League
87,Manchester City,0.04,0,Blocked,Shot,https://fbref.com/en/matches/d4650aa2/Manchester-City-Arsenal-August-28-2021-Premier-League
88,Manchester City,0.08,0,Blocked,Shot,https://fbref.com/en/matches/d4650aa2/Manchester-City-Arsenal-August-28-2021-Premier-League
90,Manchester City,0.53,0.86,Saved,Shot,https://fbref.com/en/matches/d4650aa2/Manchester-City-Arsenal-August-28-2021-Premier-League
90,Manchester City,0.04,0.15,Saved,Shot,https://fbref.com/en/matches/d4650aa2/Manchester-City-Arsenal-August-28-2021-Premier-League
0,0,0,0,0,Shot,https://fbref.com/en/matches/78aa75e6/Liverpool-Chelsea-August-28-2021-Premier-League
4,Liverpool,0.02,0,Off Target,Shot,https://fbref.com/en/matches/78aa75e6/Liverpool-Chelsea-August-28-2021-Premier-League
10,Liverpool,0.34,0,Off Target,Shot,https://fbref.com/en/matches/78aa75e6/Liverpool-Chelsea-August-28-2021-Premier-League
11,Liverpool,0.03,0,Off Target,Shot,https://fbref.com/en/matches/78aa75e6/Liverpool-Chelsea-August-28-2021-Premier-League
17,Liverpool,0.05,0,Off Target,Shot,https://fbref.com/en/matches/78aa75e6/Liverpool-Chelsea-August-28-2021-Premier-League
22,Chelsea,0.03,0.24,Goal,Shot,https://fbref.com/en/matches/78aa75e6/Liverpool-Chelsea-August-28-2021-Premier-League
26,Chelsea,0.06,0,Blocked,Shot,https://fbref.com/en/matches/78aa75e6/Liverpool-Chelsea-August-28-2021-Premier-League
35,Chelsea,0.13,0.06,Saved,Shot,https://fbref.com/en/matches/78aa75e6/Liverpool-Chelsea-August-28-2021-Premier-League
35,Chelsea,0.16,0,Off Target,Shot,https://fbref.com/en/matches/78aa75e6/Liverpool-Chelsea-August-28-2021-Premier-League
36,Liverpool,0.18,0,Off Target,Shot,https://fbref.com/en/matches/78aa75e6/Liverpool-Chelsea-August-28-2021-Premier-League
45,Chelsea,0,0,Red Card,Red Card,https://fbref.com/en/matches/78aa75e6/Liverpool-Chelsea-August-28-2021-Premier-League
45,Liverpool,0.79,0.98,Goal,Shot,https://fbref.com/en/matches/78aa75e6/Liverpool-Chelsea-August-28-2021-Premier-League
45,Liverpool,0,0,Red Card,Red Card,https://fbref.com/en/matches/78aa75e6/Liverpool-Chelsea-August-28-2021-Premier-League
45,Liverpool,0.12,0,Woodwork,Shot,https://fbref.com/en/matches/78aa75e6/Liverpool-Chelsea-August-28-2021-Premier-League
45,Liverpool,0.19,0,Off Target,Shot,https://fbref.com/en/matches/78aa75e6/Liverpool-Chelsea-August-28-2021-Premier-League
45,Liverpool,0.04,0,Off Target,Shot,https://fbref.com/en/matches/78aa75e6/Liverpool-Chelsea-August-28-2021-Premier-League
45,Liverpool,0.26,0,Blocked,Shot,https://fbref.com/en/matches/78aa75e6/Liverpool-Chelsea-August-28-2021-Premier-League
51,Liverpool,0.11,0,Off Target,Shot,https://fbref.com/en/matches/78aa75e6/Liverpool-Chelsea-August-28-2021-Premier-League
52,Liverpool,0.01,0.36,Saved,Shot,https://fbref.com/en/matches/78aa75e6/Liverpool-Chelsea-August-28-2021-Premier-League
56,Liverpool,0.08,0,Blocked,Shot,https://fbref.com/en/matches/78aa75e6/Liverpool-Chelsea-August-28-2021-Premier-League
57,Liverpool,0.02,0,Blocked,Shot,https://fbref.com/en/matches/78aa75e6/Liverpool-Chelsea-August-28-2021-Premier-League
58,Liverpool,0.02,0,Off Target,Shot,https://fbref.com/en/matches/78aa75e6/Liverpool-Chelsea-August-28-2021-Premier-League
59,Liverpool,0.03,0.16,Saved,Shot,https://fbref.com/en/matches/78aa75e6/Liverpool-Chelsea-August-28-2021-Premier-League
60,Liverpool,0.03,0.08,Saved,Shot,https://fbref.com/en/matches/78aa75e6/Liverpool-Chelsea-August-28-2021-Premier-League
61,Liverpool,0.09,0,Off Target,Shot,https://fbref.com/en/matches/78aa75e6/Liverpool-Chelsea-August-28-2021-Premier-League
64,Chelsea,0.22,0,Blocked,Shot,https://fbref.com/en/matches/78aa75e6/Liverpool-Chelsea-August-28-2021-Premier-League
66,Liverpool,0.25,0,Off Target,Shot,https://fbref.com/en/matches/78aa75e6/Liverpool-Chelsea-August-28-2021-Premier-League
80,Liverpool,0.06,0,Blocked,Shot,https://fbref.com/en/matches/78aa75e6/Liverpool-Chelsea-August-28-2021-Premier-League
84,Chelsea,0.04,0.13,Saved,Shot,https://fbref.com/en/matches/78aa75e6/Liverpool-Chelsea-August-28-2021-Premier-League
85,Liverpool,0.1,0.09,Saved,Shot,https://fbref.com/en/matches/78aa75e6/Liverpool-Chelsea-August-28-2021-Premier-League
85,Liverpool,0.04,0.06,Saved,Shot,https://fbref.com/en/matches/78aa75e6/Liverpool-Chelsea-August-28-2021-Premier-League
89,Liverpool,0.11,0,Blocked,Shot,https://fbref.com/en/matches/78aa75e6/Liverpool-Chelsea-August-28-2021-Premier-League
90,Liverpool,0.05,0.3,Saved,Shot,https://fbref.com/en/matches/78aa75e6/Liverpool-Chelsea-August-28-2021-Premier-League
0,0,0,0,0,Shot,https://fbref.com/en/matches/17e86f90/Crystal-Palace-Tottenham-Hotspur-September-11-2021-Premier-League
21,Crystal Palace,0.06,0,Off Target,Shot,https://fbref.com/en/matches/17e86f90/Crystal-Palace-Tottenham-Hotspur-September-11-2021-Premier-League
34,Crystal Palace,0.02,0,Blocked,Shot,https://fbref.com/en/matches/17e86f90/Crystal-Palace-Tottenham-Hotspur-September-11-2021-Premier-League
35,Crystal Palace,0.03,0,Blocked,Shot,https://fbref.com/en/matches/17e86f90/Crystal-Palace-Tottenham-Hotspur-September-11-2021-Premier-League
41,Crystal Palace,0.04,0,Off Target,Shot,https://fbref.com/en/matches/17e86f90/Crystal-Palace-Tottenham-Hotspur-September-11-2021-Premier-League
42,Crystal Palace,0.32,0,Blocked,Shot,https://fbref.com/en/matches/17e86f90/Crystal-Palace-Tottenham-Hotspur-September-11-2021-Premier-League
42,Crystal Palace,0.26,0.96,Saved,Shot,https://fbref.com/en/matches/17e86f90/Crystal-Palace-Tottenham-Hotspur-September-11-2021-Premier-League
43,Crystal Palace,0.07,0,Off Target,Shot,https://fbref.com/en/matches/17e86f90/Crystal-Palace-Tottenham-Hotspur-September-11-2021-Premier-League
48,Tottenham,0.03,0.1,Saved,Shot,https://fbref.com/en/matches/17e86f90/Crystal-Palace-Tottenham-Hotspur-September-11-2021-Premier-League
50,Crystal Palace,0.14,0,Blocked,Shot,https://fbref.com/en/matches/17e86f90/Crystal-Palace-Tottenham-Hotspur-September-11-2021-Premier-League
51,Crystal Palace,0.02,0,Off Target,Shot,https://fbref.com/en/matches/17e86f90/Crystal-Palace-Tottenham-Hotspur-September-11-2021-Premier-League
57,Crystal Palace,0.05,0,Off Target,Shot,https://fbref.com/en/matches/17e86f90/Crystal-Palace-Tottenham-Hotspur-September-11-2021-Premier-League
58,Tottenham Hotspur,0,0,Red Card,Second Yellow Card,https://fbref.com/en/matches/17e86f90/Crystal-Palace-Tottenham-Hotspur-September-11-2021-Premier-League
60,Crystal Palace,0.02,0,Off Target,Shot,https://fbref.com/en/matches/17e86f90/Crystal-Palace-Tottenham-Hotspur-September-11-2021-Premier-League
66,Crystal Palace,0.1,0,Blocked,Shot,https://fbref.com/en/matches/17e86f90/Crystal-Palace-Tottenham-Hotspur-September-11-2021-Premier-League
72,Crystal Palace,0.02,0,Blocked,Shot,https://fbref.com/en/matches/17e86f90/Crystal-Palace-Tottenham-Hotspur-September-11-2021-Premier-League
74,Crystal Palace,0.03,0,Blocked,Shot,https://fbref.com/en/matches/17e86f90/Crystal-Palace-Tottenham-Hotspur-September-11-2021-Premier-League
76,Crystal Palace,0.79,0.98,Goal,Shot,https://fbref.com/en/matches/17e86f90/Crystal-Palace-Tottenham-Hotspur-September-11-2021-Premier-League
80,Crystal Palace,0.03,0,Off Target,Shot,https://fbref.com/en/matches/17e86f90/Crystal-Palace-Tottenham-Hotspur-September-11-2021-Premier-League
84,Crystal Palace,0.08,0.5,Goal,Shot,https://fbref.com/en/matches/17e86f90/Crystal-Palace-Tottenham-Hotspur-September-11-2021-Premier-League
86,Tottenham,0.03,0,Off Target,Shot,https://fbref.com/en/matches/17e86f90/Crystal-Palace-Tottenham-Hotspur-September-11-2021-Premier-League
90,Crystal Palace,0.12,0.7,Goal,Shot,https://fbref.com/en/matches/17e86f90/Crystal-Palace-Tottenham-Hotspur-September-11-2021-Premier-League
0,0,0,0,0,Shot,https://fbref.com/en/matches/ddff1858/Southampton-West-Ham-United-September-11-2021-Premier-League
3,West Ham,0.02,0,Blocked,Shot,https://fbref.com/en/matches/ddff1858/Southampton-West-Ham-United-September-11-2021-Premier-League
3,Southampton,0.03,0.05,Saved,Shot,https://fbref.com/en/matches/ddff1858/Southampton-West-Ham-United-September-11-2021-Premier-League
14,West Ham,0.07,0,Blocked,Shot,https://fbref.com/en/matches/ddff1858/Southampton-West-Ham-United-September-11-2021-Premier-League
14,West Ham,0.02,0,Off Target,Shot,https://fbref.com/en/matches/ddff1858/Southampton-West-Ham-United-September-11-2021-Premier-League
21,Southampton,0.08,0,Blocked,Shot,https://fbref.com/en/matches/ddff1858/Southampton-West-Ham-United-September-11-2021-Premier-League
32,West Ham,0.02,0,Blocked,Shot,https://fbref.com/en/matches/ddff1858/Southampton-West-Ham-United-September-11-2021-Premier-League
33,West Ham,0.02,0,Blocked,Shot,https://fbref.com/en/matches/ddff1858/Southampton-West-Ham-United-September-11-2021-Premier-League
38,Southampton,0.02,0,Off Target,Shot,https://fbref.com/en/matches/ddff1858/Southampton-West-Ham-United-September-11-2021-Premier-League
47,West Ham,0.03,0.17,Saved,Shot,https://fbref.com/en/matches/ddff1858/Southampton-West-Ham-United-September-11-2021-Premier-League
49,Southampton,0.03,0.02,Saved,Shot,https://fbref.com/en/matches/ddff1858/Southampton-West-Ham-United-September-11-2021-Premier-League
51,West Ham,0.05,0,Blocked,Shot,https://fbref.com/en/matches/ddff1858/Southampton-West-Ham-United-September-11-2021-Premier-League
52,Southampton,0.09,0,Off Target,Shot,https://fbref.com/en/matches/ddff1858/Southampton-West-Ham-United-September-11-2021-Premier-League
52,Southampton,0.14,0,Blocked,Shot,https://fbref.com/en/matches/ddff1858/Southampton-West-Ham-United-September-11-2021-Premier-League
56,West Ham,0.15,0,Off Target,Shot,https://fbref.com/en/matches/ddff1858/Southampton-West-Ham-United-September-11-2021-Premier-League
61,Southampton,0.04,0,Off Target,Shot,https://fbref.com/en/matches/ddff1858/Southampton-West-Ham-United-September-11-2021-Premier-League
64,West Ham,0.12,0,Blocked,Shot,https://fbref.com/en/matches/ddff1858/Southampton-West-Ham-United-September-11-2021-Premier-League
68,West Ham,0.06,0.12,Saved,Shot,https://fbref.com/en/matches/ddff1858/Southampton-West-Ham-United-September-11-2021-Premier-League
68,West Ham,0.1,0.06,Saved,Shot,https://fbref.com/en/matches/ddff1858/Southampton-West-Ham-United-September-11-2021-Premier-League
81,Southampton,0.07,0,Woodwork,Shot,https://fbref.com/en/matches/ddff1858/Southampton-West-Ham-United-September-11-2021-Premier-League
82,Southampton,0.09,0,Off Target,Shot,https://fbref.com/en/matches/ddff1858/Southampton-West-Ham-United-September-11-2021-Premier-League
83,West Ham,0.04,0,Off Target,Shot,https://fbref.com/en/matches/ddff1858/Southampton-West-Ham-United-September-11-2021-Premier-League
90,Southampton,0.11,0,Blocked,Shot,https://fbref.com/en/matches/ddff1858/Southampton-West-Ham-United-September-11-2021-Premier-League
90,Southampton,0.03,0,Blocked,Shot,https://fbref.com/en/matches/ddff1858/Southampton-West-Ham-United-September-11-2021-Premier-League
90,West Ham,0.02,0,Blocked,Shot,https://fbref.com/en/matches/ddff1858/Southampton-West-Ham-United-September-11-2021-Premier-League
90,West Ham United,0,0,Red Card,Second Yellow Card,https://fbref.com/en/matches/ddff1858/Southampton-West-Ham-United-September-11-2021-Premier-League
0,0,0,0,0,Shot,https://fbref.com/en/matches/e6a245be/Leeds-United-Liverpool-September-12-2021-Premier-League
5,Leeds United,0.36,0.03,Saved,Shot,https://fbref.com/en/matches/e6a245be/Leeds-United-Liverpool-September-12-2021-Premier-League
11,Liverpool,0.05,0,Blocked,Shot,https://fbref.com/en/matches/e6a245be/Leeds-United-Liverpool-September-12-2021-Premier-League
15,Liverpool,0.42,0.07,Saved,Shot,https://fbref.com/en/matches/e6a245be/Leeds-United-Liverpool-September-12-2021-Premier-League
18,Leeds United,0.08,0,Blocked,Shot,https://fbref.com/en/matches/e6a245be/Leeds-United-Liverpool-September-12-2021-Premier-League
19,Liverpool,0.06,0,Blocked,Shot,https://fbref.com/en/matches/e6a245be/Leeds-United-Liverpool-September-12-2021-Premier-League
20,Liverpool,0.64,0.9,Goal,Shot,https://fbref.com/en/matches/e6a245be/Leeds-United-Liverpool-September-12-2021-Premier-League
26,Liverpool,0.85,0,Off Target,Shot,https://fbref.com/en/matches/e6a245be/Leeds-United-Liverpool-September-12-2021-Premier-League
27,Liverpool,0.06,0,Blocked,Shot,https://fbref.com/en/matches/e6a245be/Leeds-United-Liverpool-September-12-2021-Premier-League
27,Liverpool,0.17,0,Blocked,Shot,https://fbref.com/en/matches/e6a245be/Leeds-United-Liverpool-September-12-2021-Premier-League
27,Liverpool,0.19,0.06,Saved,Shot,https://fbref.com/en/matches/e6a245be/Leeds-United-Liverpool-September-12-2021-Premier-League
28,Liverpool,0.1,0,Off Target,Shot,https://fbref.com/en/matches/e6a245be/Leeds-United-Liverpool-September-12-2021-Premier-League
31,Liverpool,0.05,0,Off Target,Shot,https://fbref.com/en/matches/e6a245be/Leeds-United-Liverpool-September-12-2021-Premier-League
38,Liverpool,0.04,0,Off Target,Shot,https://fbref.com/en/matches/e6a245be/Leeds-United-Liverpool-September-12-2021-Premier-League
39,Liverpool,0.03,0,Blocked,Shot,https://fbref.com/en/matches/e6a245be/Leeds-United-Liverpool-September-12-2021-Premier-League
41,Liverpool,0.07,0,Blocked,Shot,https://fbref.com/en/matches/e6a245be/Leeds-United-Liverpool-September-12-2021-Premier-League
44,Leeds United,0.1,0,Off Target,Shot,https://fbref.com/en/matches/e6a245be/Leeds-United-Liverpool-September-12-2021-Premier-League
49,Liverpool,0.23,0,Blocked,Shot,https://fbref.com/en/matches/e6a245be/Leeds-United-Liverpool-September-12-2021-Premier-League
49,Leeds United,0.04,0,Off Target,Shot,https://fbref.com/en/matches/e6a245be/Leeds-United-Liverpool-September-12-2021-Premier-League
49,Liverpool,0.09,0,Off Target,Shot,https://fbref.com/en/matches/e6a245be/Leeds-United-Liverpool-September-12-2021-Premier-League
50,Liverpool,0.13,0.06,Goal,Shot,https://fbref.com/en/matches/e6a245be/Leeds-United-Liverpool-September-12-2021-Premier-League
50,Liverpool,0.01,0,Blocked,Shot,https://fbref.com/en/matches/e6a245be/Leeds-United-Liverpool-September-12-2021-Premier-League
50,Liverpool,0.07,0,Blocked,Shot,https://fbref.com/en/matches/e6a245be/Leeds-United-Liverpool-September-12-2021-Premier-League
55,Leeds United,0.18,0.1,Saved,Shot,https://fbref.com/en/matches/e6a245be/Leeds-United-Liverpool-September-12-2021-Premier-League
56,Leeds United,0.12,0,Off Target,Shot,https://fbref.com/en/matches/e6a245be/Leeds-United-Liverpool-September-12-2021-Premier-League
60,Leeds United,0,0,Red Card,Red Card,https://fbref.com/en/matches/e6a245be/Leeds-United-Liverpool-September-12-2021-Premier-League
66,Leeds United,0.04,0,Off Target,Shot,https://fbref.com/en/matches/e6a245be/Leeds-United-Liverpool-September-12-2021-Premier-League
73,Liverpool,0.06,0.05,Saved,Shot,https://fbref.com/en/matches/e6a245be/Leeds-United-Liverpool-September-12-2021-Premier-League
75,Liverpool,0.23,0,Blocked,Shot,https://fbref.com/en/matches/e6a245be/Leeds-United-Liverpool-September-12-2021-Premier-League
75,Leeds United,0.31,0.29,Saved,Shot,https://fbref.com/en/matches/e6a245be/Leeds-United-Liverpool-September-12-2021-Premier-League
76,Liverpool,0.07,0,Blocked,Shot,https://fbref.com/en/matches/e6a245be/Leeds-United-Liverpool-September-12-2021-Premier-League
79,Liverpool,0.07,0,Blocked,Shot,https://fbref.com/en/matches/e6a245be/Leeds-United-Liverpool-September-12-2021-Premier-League
79,Liverpool,0.05,0.2,Saved,Shot,https://fbref.com/en/matches/e6a245be/Leeds-United-Liverpool-September-12-2021-Premier-League
80,Liverpool,0.06,0,Blocked,Shot,https://fbref.com/en/matches/e6a245be/Leeds-United-Liverpool-September-12-2021-Premier-League
81,Liverpool,0.27,0.72,Saved,Shot,https://fbref.com/en/matches/e6a245be/Leeds-United-Liverpool-September-12-2021-Premier-League
83,Leeds United,0.01,0.06,Saved,Shot,https://fbref.com/en/matches/e6a245be/Leeds-United-Liverpool-September-12-2021-Premier-League
88,Liverpool,0.14,0,Blocked,Shot,https://fbref.com/en/matches/e6a245be/Leeds-United-Liverpool-September-12-2021-Premier-League
89,Liverpool,0.01,0,Blocked,Shot,https://fbref.com/en/matches/e6a245be/Leeds-United-Liverpool-September-12-2021-Premier-League
90,Liverpool,0.27,0.77,Goal,Shot,https://fbref.com/en/matches/e6a245be/Leeds-United-Liverpool-September-12-2021-Premier-League
90,Liverpool,0.01,0,Blocked,Shot,https://fbref.com/en/matches/e6a245be/Leeds-United-Liverpool-September-12-2021-Premier-League
90,Liverpool,0.02,0,Off Target,Shot,https://fbref.com/en/matches/e6a245be/Leeds-United-Liverpool-September-12-2021-Premier-League
0,0,0,0,0,Shot,https://fbref.com/en/matches/fd1d60f4/Wolverhampton-Wanderers-Brentford-September-18-2021-Premier-League
5,Wolves,0.04,0,Off Target,Shot,https://fbref.com/en/matches/fd1d60f4/Wolverhampton-Wanderers-Brentford-September-18-2021-Premier-League
12,Brentford,0.02,0,Off Target,Shot,https://fbref.com/en/matches/fd1d60f4/Wolverhampton-Wanderers-Brentford-September-18-2021-Premier-League
14,Wolves,0.01,0,Off Target,Shot,https://fbref.com/en/matches/fd1d60f4/Wolverhampton-Wanderers-Brentford-September-18-2021-Premier-League
17,Wolves,0.07,0,Off Target,Shot,https://fbref.com/en/matches/fd1d60f4/Wolverhampton-Wanderers-Brentford-September-18-2021-Premier-League
28,Brentford,0.79,0.99,Goal,Shot,https://fbref.com/en/matches/fd1d60f4/Wolverhampton-Wanderers-Brentford-September-18-2021-Premier-League
29,Brentford,0.3,0.24,Saved,Shot,https://fbref.com/en/matches/fd1d60f4/Wolverhampton-Wanderers-Brentford-September-18-2021-Premier-League
32,Wolves,0.03,0,Blocked,Shot,https://fbref.com/en/matches/fd1d60f4/Wolverhampton-Wanderers-Brentford-September-18-2021-Premier-League
32,Wolves,0.18,0,Off Target,Shot,https://fbref.com/en/matches/fd1d60f4/Wolverhampton-Wanderers-Brentford-September-18-2021-Premier-League
33,Wolves,0.03,0,Blocked,Shot,https://fbref.com/en/matches/fd1d60f4/Wolverhampton-Wanderers-Brentford-September-18-2021-Premier-League
34,Brentford,0.92,0.95,Goal,Shot,https://fbref.com/en/matches/fd1d60f4/Wolverhampton-Wanderers-Brentford-September-18-2021-Premier-League
45,Wolves,0.02,0,Off Target,Shot,https://fbref.com/en/matches/fd1d60f4/Wolverhampton-Wanderers-Brentford-September-18-2021-Premier-League
46,Brentford,0.1,0,Off Target,Shot,https://fbref.com/en/matches/fd1d60f4/Wolverhampton-Wanderers-Brentford-September-18-2021-Premier-League
64,Brentford,0,0,Red Card,Second Yellow Card,https://fbref.com/en/matches/fd1d60f4/Wolverhampton-Wanderers-Brentford-September-18-2021-Premier-League
68,Wolves,0.11,0,Blocked,Shot,https://fbref.com/en/matches/fd1d60f4/Wolverhampton-Wanderers-Brentford-September-18-2021-Premier-League
85,Wolves,0.06,0,Off Target,Shot,https://fbref.com/en/matches/fd1d60f4/Wolverhampton-Wanderers-Brentford-September-18-2021-Premier-League
86,Brentford,0.01,0,Off Target,Shot,https://fbref.com/en/matches/fd1d60f4/Wolverhampton-Wanderers-Brentford-September-18-2021-Premier-League
87,Wolves,0.08,0,Off Target,Shot,https://fbref.com/en/matches/fd1d60f4/Wolverhampton-Wanderers-Brentford-September-18-2021-Premier-League
90,Brentford,0.2,0,Woodwork,Shot,https://fbref.com/en/matches/fd1d60f4/Wolverhampton-Wanderers-Brentford-September-18-2021-Premier-League
90,Brentford,0.02,0,Blocked,Shot,https://fbref.com/en/matches/fd1d60f4/Wolverhampton-Wanderers-Brentford-September-18-2021-Premier-League
90,Brentford,0.11,0,Off Target,Shot,https://fbref.com/en/matches/fd1d60f4/Wolverhampton-Wanderers-Brentford-September-18-2021-Premier-League
90,Wolves,0.02,0,Off Target,Shot,https://fbref.com/en/matches/fd1d60f4/Wolverhampton-Wanderers-Brentford-September-18-2021-Premier-League
0,0,0,0,0,Shot,https://fbref.com/en/matches/a6466617/Chelsea-Southampton-October-2-2021-Premier-League
